14 Oct 2023 - 13:53:27.855 [restartedMain] INFO  c.newspapers.NewspapersApplication - Starting NewspapersApplication using Java 17.0.8 with PID 13760 (C:\Users\qdh1\Desktop\Newspapers\newspapers\Newspapers\target\classes started by huan in C:\Users\qdh1\Desktop\Newspapers)
14 Oct 2023 - 13:53:27.893 [restartedMain] INFO  c.newspapers.NewspapersApplication - No active profile set, falling back to 1 default profile: "default"
14 Oct 2023 - 13:53:28.063 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
14 Oct 2023 - 13:53:28.064 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
14 Oct 2023 - 13:53:30.369 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14 Oct 2023 - 13:53:30.541 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 146 ms. Found 3 JPA repository interfaces.
14 Oct 2023 - 13:53:31.964 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14 Oct 2023 - 13:53:31.993 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14 Oct 2023 - 13:53:31.994 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
14 Oct 2023 - 13:53:32.142 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14 Oct 2023 - 13:53:32.143 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4076 ms
14 Oct 2023 - 13:53:32.602 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14 Oct 2023 - 13:53:32.762 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.9.Final
14 Oct 2023 - 13:53:32.768 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
14 Oct 2023 - 13:53:33.106 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
14 Oct 2023 - 13:53:34.234 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
